node,mean,se 
1,1.07042730664,0.549567887827
2,0.930085560141,0.514081334113
3,1.23737600534,1.09686795543
4,0.949473725909,0.594952911775
5,0.951902369599,0.627894655388
6,1.32117966021,0.76675588291
7,1.23715173855,0.753591163801
8,1.30613128622,1.1132278587
9,1.37536840375,1.13167447526
10,1.42175731803,0.706838220873
11,1.27085667283,0.829801167275
12,1.06887482758,0.412005033925
13,1.62790256452,0.871862236958
14,2.66316329265,2.89905267665
15,1.05954964323,0.550029506461
16,2.03045044438,1.19106857909
17,2.66649976314,2.56588025571
18,2.20337606234,1.26887675371
19,1.70264086974,1.33312547685
20,1.09850066339,0.574641359909
21,1.23885140445,0.573221627598
22,1.34699045327,0.909383250289
23,2.50339450094,1.51259795945
24,1.6468775984,0.729785367573
25,3.12486652491,3.352505259
26,1.31676455979,0.74865643031
27,2.70995436133,1.79712600879
28,1.49328054792,0.638645170182
29,1.50297593972,0.687808372328
30,1.40393261624,0.623883943133
31,1.77865153563,1.14618857823
32,2.10847378711,1.89250992758
33,1.61165669916,1.18280685201
34,1.6433273077,0.936333629182
35,1.70060837246,1.56492951465
36,3.21781850526,3.09986044993
37,1.6696663624,0.659951052976
38,1.63043609553,0.653385023624
39,1.82157666475,1.00732215496
40,2.19395881997,0.844477382386
41,1.81877114253,0.949508583052
42,1.57083894286,0.780932954544
43,1.40053510628,0.700415436695
44,1.66202111686,0.293764900424
